Index	e_above_hull	Sn_fraction
gen-1-135	0.097886	0.642857
gen-1-136	0.015425	0.625000
gen-1-137	0.089383	0.583333
gen-1-138	0.013300	0.142857
gen-1-139	0.010539	0.333333
gen-1-140	0.084400	0.500000
gen-1-141	0.019295	0.350000
gen-1-142	0.035514	0.285714
gen-1-143	0.088500	0.333333
gen-1-144	0.059123	0.250000
gen-1-145	0.089573	0.400000
gen-1-146	0.061443	0.571429
gen-1-147	0.051833	0.733333
gen-1-148	0.066152	0.454545
gen-1-149	0.092862	0.250000
gen-1-150	0.000056	0.500000
gen-1-151	0.022273	0.400000
gen-1-152	0.037633	0.333333
gen-1-153	0.095753	0.400000
gen-1-154	0.049222	0.222222
gen-1-155	0.062121	0.272727
gen-1-156	0.052590	0.750000
gen-1-157	0.029319	0.473684
gen-1-158	0.012297	0.333333
gen-1-159	0.023450	0.666667
gen-1-160	0.011625	0.750000
gen-1-161	0.118225	0.500000
gen-1-162	0.017004	0.375000
gen-1-163	0.086547	0.300000
gen-1-164	0.060719	0.444444
gen-1-165	0.064400	0.555556
gen-1-166	0.000350	0.222222
gen-1-167	0.109000	0.692308
gen-1-168	0.043247	0.600000
gen-1-169	0.056323	0.400000
gen-1-170	0.023680	0.800000
gen-1-171	0.037133	0.888889
gen-1-172	0.089257	0.714286
gen-1-173	0.124900	0.600000
gen-1-174	0.104967	0.461538
gen-1-175	0.111117	0.583333
gen-1-176	0.053867	0.428571
gen-1-177	0.046958	0.526316
gen-1-178	0.000023	0.250000
gen-1-179	0.026953	0.526316
gen-1-180	0.064099	0.263158
gen-1-181	0.010078	0.333333
gen-1-182	0.098752	0.263158
gen-1-183	0.027606	0.625000
gen-1-184	0.026840	0.600000
gen-1-185	0.037103	0.200000
gen-1-186	0.063139	0.611111
gen-1-187	0.067517	0.750000
gen-1-188	0.156300	0.333333
gen-1-189	0.088718	0.636364
gen-1-190	0.062774	0.631579
gen-1-191	0.091328	0.222222
gen-1-192	0.055373	0.533333
gen-1-193	0.062728	0.142857
gen-1-194	0.029040	0.230769
gen-1-195	0.033856	0.315789
gen-1-196	0.006377	0.300000
gen-1-197	0.045160	0.500000
gen-1-198	0.023925	0.625000
gen-1-199	0.036069	0.250000
gen-2-0	0.057175	0.750000
gen-2-1	0.062912	0.272727
gen-2-2	0.058100	0.200000
gen-2-3	0.050706	0.333333
gen-2-4	0.061779	0.454545
gen-2-5	0.031390	0.650000
gen-2-6	0.042892	0.500000
gen-2-7	0.052268	0.400000
gen-2-8	0.134191	0.266667
gen-2-9	0.038789	0.333333
gen-2-10	0.016533	0.222222
gen-2-11	0.038667	0.428571
gen-2-12	0.021986	0.571429
gen-2-13	0.018493	0.388889
gen-2-14	0.024213	0.277778
gen-2-15	0.047156	0.722222
gen-2-16	0.084392	0.375000
gen-2-17	0.022309	0.363636
gen-2-18	0.071071	0.285714
gen-2-19	0.018697	0.300000
gen-2-20	0.019367	0.555556
gen-2-21	0.021605	0.700000
gen-2-22	0.073863	0.526316
gen-2-23	0.066514	0.285714
gen-2-24	0.007139	0.181818
gen-2-25	0.016309	0.545455
gen-2-26	0.024493	0.400000
gen-2-27	0.008207	0.166667
gen-2-28	0.121560	0.600000
gen-2-29	0.212606	0.333333
gen-2-30	0.046761	0.500000
gen-2-31	0.092782	0.333333
gen-2-32	0.203481	0.250000
gen-2-33	0.054886	0.642857
gen-2-34	0.027008	0.750000
gen-2-35	0.038940	0.733333
gen-2-36	0.082483	0.222222
gen-2-37	0.037967	0.666667
gen-2-38	0.029020	0.200000
gen-2-39	0.077748	0.357143
gen-2-40	0.013979	0.111111
gen-2-41	0.024342	0.142857
gen-2-42	0.049290	0.357143
gen-2-43	0.085318	0.210526
gen-2-44	0.007874	0.166667
gen-2-45	0.037190	0.214286
gen-2-46	0.063510	0.800000
gen-2-47	0.031698	0.466667
gen-2-48	0.071280	0.800000
gen-2-49	0.102923	0.400000
gen-2-50	0.067910	0.600000
gen-2-51	0.057336	0.461538
gen-2-52	0.060831	0.250000
gen-2-53	0.047382	0.333333
gen-2-54	0.036287	0.866667
gen-2-55	0.095630	0.700000
gen-2-56	0.051862	0.500000
gen-2-57	0.140811	0.222222
gen-2-58	0.054070	0.700000
gen-2-59	0.045614	0.714286
gen-2-60	0.014464	0.142857
gen-2-61	0.143800	0.500000
gen-2-62	0.028375	0.833333
gen-2-63	0.105944	0.416667
gen-2-64	0.026600	0.636364
gen-2-65	0.084080	0.500000
gen-2-66	0.038800	0.727273
gen-2-67	0.042544	0.416667
gen-2-68	0.024210	0.375000
gen-2-69	0.037323	0.111111
gen-2-70	0.033050	0.700000
gen-2-71	0.112422	0.555556
gen-2-72	0.017269	0.125000
gen-2-73	0.000075	0.500000
gen-2-74	0.028590	0.600000
gen-2-75	0.051995	0.550000
gen-2-76	0.105839	0.272727
gen-2-77	0.052630	0.133333
gen-2-78	0.073656	0.222222
gen-2-79	0.090356	0.250000
gen-2-80	0.001753	0.200000
gen-2-81	0.098485	0.272727
