Index	e_above_hull	formation_energy	Sn_fraction
06-37	0.057525	-0.348165	0.250000
06-38	0.000050	-0.332860	0.500000
06-39	0.057529	-0.227823	0.571429
06-40	0.079133	-0.142807	0.666667
06-41	0.036542	-0.185398	0.666667
06-42	0.058091	-0.280922	0.187500
06-43	0.008656	-0.376082	0.222222
06-44	0.033929	-0.333962	0.416667
06-45	0.003595	-0.352036	0.200000
06-46	0.029755	-0.344587	0.214286
06-47	0.025270	-0.207767	0.650000
06-48	0.064200	-0.268710	0.500000
06-49	0.003703	-0.399169	0.333333
06-50	0.027850	-0.375022	0.333333
06-51	0.046925	-0.175015	0.666667
06-52	0.049825	-0.355865	0.250000
06-53	0.048017	-0.284893	0.500000
06-54	0.057475	-0.348215	0.250000
06-55	0.034708	-0.298202	0.500000
06-56	0.011758	-0.393932	0.250000
06-57	0.000150	-0.405540	0.250000
06-58	0.056479	-0.336399	0.357143
06-59	0.049750	-0.355940	0.250000
06-60	0.026312	-0.306598	0.500000
06-61	0.037633	-0.073337	0.833333
06-62	0.061359	-0.042413	0.055556
06-63	0.001992	-0.400880	0.333333
06-64	0.039179	-0.328712	0.416667
06-65	0.072142	-0.339439	0.300000
06-66	0.080390	-0.185938	0.600000
06-67	0.035918	-0.375896	0.272727
06-68	0.000200	-0.405490	0.250000
06-69	0.021700	-0.144755	0.750000
06-70	0.017967	-0.384905	0.333333
06-71	0.135033	-0.275148	0.266667
06-72	0.022737	-0.388844	0.300000
06-73	0.067000	-0.265910	0.500000
06-74	0.034590	-0.265029	0.550000
06-75	0.000225	-0.332685	0.500000
06-76	0.041775	-0.224553	0.600000
06-77	0.043265	-0.331622	0.400000
06-78	0.056075	-0.276835	0.500000
06-79	0.044845	-0.330042	0.400000
06-80	0.041967	-0.360905	0.333333
06-81	0.057467	-0.108988	0.750000
06-82	0.000075	-0.332835	0.500000
06-83	0.030717	-0.135738	0.750000
06-84	0.049850	-0.355840	0.250000
06-85	0.007917	-0.303400	0.166667
06-86	0.059983	-0.345707	0.250000
06-87	0.049825	-0.355865	0.250000
06-88	0.049825	-0.355865	0.250000
06-89	0.002812	-0.400060	0.333333
06-90	0.046825	-0.356047	0.333333
06-91	0.037125	-0.365747	0.333333
06-92	0.000050	-0.332860	0.500000
06-93	0.083593	-0.331721	0.285714
06-94	0.062045	-0.349769	0.272727
06-95	0.066009	-0.322134	0.368421
06-96	0.083838	-0.223463	0.538462
06-97	0.002142	-0.400730	0.333333
06-98	0.078911	-0.283983	0.428571
06-99	0.037556	-0.347825	0.375000
06-100	0.055008	-0.301222	0.444444
06-101	0.000280	0.000280	0.000000
06-102	0.044467	-0.288443	0.500000
06-103	0.026419	-0.306491	0.500000
06-104	0.000425	-0.405265	0.250000
06-105	0.065325	-0.267585	0.500000
06-106	0.030937	-0.179322	0.684211
06-107	0.000050	-0.332860	0.500000
06-108	0.000025	-0.332885	0.500000
06-109	0.037482	-0.144105	0.727273
06-110	0.050990	-0.248629	0.550000
06-111	0.002063	-0.403627	0.250000
06-112	0.031021	-0.144195	0.736842
06-113	0.049838	-0.355852	0.250000
06-114	0.037300	-0.262319	0.550000
06-115	0.046500	-0.359190	0.250000
06-116	0.016167	-0.295150	0.166667
06-117	0.041055	-0.333832	0.400000
06-118	0.053717	-0.331021	0.222222
06-119	0.052933	-0.169007	0.666667
06-120	0.026367	-0.195573	0.666667
06-121	0.063975	-0.157965	0.666667
06-122	0.050263	-0.282647	0.500000
06-123	0.000025	-0.332885	0.500000
06-124	0.061384	-0.328767	0.363636
06-125	0.080136	-0.322736	0.333333
06-126	0.049715	-0.216613	0.600000
06-127	0.034080	-0.331969	0.421053
06-128	0.035452	-0.316538	0.454545
06-129	0.026375	-0.306535	0.500000
06-130	0.047925	-0.284985	0.500000
06-131	0.021715	-0.353172	0.400000
06-132	0.097158	-0.308532	0.250000
06-133	0.048358	-0.354513	0.333333
06-134	0.045353	-0.308546	0.450000
06-135	0.089370	-0.285517	0.400000
06-136	0.049825	-0.355865	0.250000
06-137	0.057614	-0.227737	0.571429
06-138	0.045339	-0.176601	0.666667
