Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
gen-1-110	0.019679	-0.308317	0.375000	0.062500	0.562500
gen-1-111	0.035441	-0.303226	0.500000	0.350000	0.150000
gen-1-112	0.033589	-0.285262	0.650000	0.250000	0.100000
gen-1-113	0.064260	-0.278244	0.583333	0.250000	0.166667
gen-1-114	0.047830	-0.296543	0.400000	0.133333	0.466667
gen-1-115	0.008807	-0.234293	0.333333	0.666667	0.000000
gen-1-116	0.047527	-0.308161	0.555556	0.222222	0.222222
gen-1-117	0.073642	-0.208905	0.333333	0.500000	0.166667
gen-1-118	0.075477	-0.213491	0.333333	0.333333	0.333333
gen-1-119	0.037198	-0.318345	0.666667	0.111111	0.222222
gen-1-120	0.051518	-0.233974	0.357143	0.500000	0.142857
gen-1-121	0.083254	-0.287441	0.571429	0.142857	0.285714
gen-1-122	0.033930	-0.308682	0.500000	0.333333	0.166667
gen-1-123	0.060307	-0.295381	0.555556	0.222222	0.222222
gen-1-124	0.089774	-0.251203	0.411765	0.294118	0.294118
gen-1-125	0.027095	-0.231784	0.333333	0.600000	0.066667
gen-1-126	0.077149	-0.211819	0.333333	0.333333	0.333333
gen-1-127	0.081224	-0.201323	0.333333	0.500000	0.166667
gen-1-128	0.032800	-0.329454	0.562500	0.187500	0.250000
gen-1-129	0.034195	-0.295196	0.555556	0.333333	0.111111
gen-1-130	0.070191	-0.265548	0.444444	0.333333	0.222222
gen-1-131	0.043663	-0.330376	0.600000	0.100000	0.300000
gen-1-132	0.041935	-0.308436	0.600000	0.200000	0.200000
gen-1-133	0.075714	-0.310288	0.500000	0.150000	0.350000
gen-1-134	0.047282	-0.285021	0.416667	0.333333	0.250000
gen-1-135	0.000196	-0.106338	0.125000	0.875000	0.000000
gen-1-136	0.053488	-0.308739	0.583333	0.166667	0.250000
gen-1-137	0.040575	-0.317428	0.416667	0.083333	0.500000
gen-1-138	0.057526	-0.255053	0.416667	0.416667	0.166667
gen-1-139	0.058021	-0.312674	0.571429	0.142857	0.285714
gen-1-140	0.055080	-0.307255	0.500000	0.250000	0.250000
gen-1-141	0.041239	-0.291887	0.722222	0.111111	0.166667
gen-1-142	0.026761	-0.071876	0.100000	0.800000	0.100000
gen-1-143	0.050659	-0.316996	0.545455	0.181818	0.272727
gen-1-144	0.024922	-0.325449	0.600000	0.200000	0.200000
gen-1-145	0.046586	-0.327453	0.600000	0.100000	0.300000
gen-1-146	0.098155	-0.198899	0.363636	0.454545	0.181818
gen-1-147	0.043939	-0.326756	0.571429	0.142857	0.285714
gen-1-148	0.086936	-0.227526	0.400000	0.400000	0.200000
gen-1-149	0.019541	-0.241400	0.350000	0.600000	0.050000
gen-1-150	0.035696	-0.346290	0.555556	0.111111	0.333333
gen-1-151	0.038057	-0.298827	0.571429	0.285714	0.142857
gen-1-152	0.001228	-0.360781	0.750000	0.000000	0.250000
gen-1-153	0.041352	-0.273110	0.400000	0.400000	0.200000
gen-1-154	0.059188	-0.303147	0.500000	0.250000	0.250000
gen-1-155	0.058472	-0.333447	0.500000	0.125000	0.375000
gen-1-156	0.050139	-0.300362	0.500000	0.300000	0.200000
gen-1-157	0.071660	-0.349845	0.500000	0.000000	0.500000
gen-1-158	0.010921	-0.103994	0.125000	0.812500	0.062500
gen-1-159	0.062663	-0.249916	0.416667	0.416667	0.166667
gen-1-160	0.086036	-0.225198	0.428571	0.428571	0.142857
gen-1-161	0.016686	-0.286480	0.500000	0.500000	0.000000
gen-1-162	0.075121	-0.213847	0.333333	0.333333	0.333333
gen-1-163	0.000147	-0.170307	0.200000	0.800000	0.000000
gen-1-164	0.064002	-0.298333	0.500000	0.250000	0.250000
gen-1-165	0.067553	-0.303142	0.571429	0.142857	0.285714
gen-1-166	0.055599	-0.310638	0.533333	0.200000	0.266667
gen-1-167	0.058121	-0.323894	0.533333	0.133333	0.333333
gen-1-168	0.065639	-0.246940	0.416667	0.416667	0.166667
gen-1-169	0.031042	-0.286382	0.636364	0.272727	0.090909
gen-1-170	0.041868	-0.247100	0.333333	0.333333	0.333333
gen-1-171	0.053558	-0.308777	0.500000	0.250000	0.250000
gen-1-172	0.049608	-0.264853	0.400000	0.400000	0.200000
gen-1-173	0.000000	-0.271890	0.300000	0.100000	0.600000
gen-1-174	0.042457	-0.313232	0.555556	0.222222	0.222222
gen-1-175	0.056396	-0.322775	0.444444	0.055556	0.500000
gen-1-176	0.051815	-0.290689	0.583333	0.250000	0.166667
gen-1-177	0.085485	-0.203482	0.333333	0.333333	0.333333
gen-1-178	0.054865	-0.322181	0.562500	0.125000	0.312500
gen-1-179	0.021968	-0.340150	0.666667	0.083333	0.250000
gen-1-180	0.064892	-0.336889	0.500000	0.083333	0.416667
gen-1-181	0.021315	-0.247271	0.357143	0.571429	0.071429
gen-1-182	0.059479	-0.302856	0.500000	0.250000	0.250000
gen-1-183	0.034219	-0.328034	0.562500	0.187500	0.250000
gen-1-184	0.095047	-0.326458	0.500000	0.000000	0.500000
gen-1-185	0.056043	-0.289003	0.428571	0.285714	0.285714
gen-1-186	0.048369	-0.277347	0.461538	0.384615	0.153846
gen-1-187	0.006617	-0.135428	0.166667	0.833333	0.000000
gen-1-188	0.041908	-0.270671	0.416667	0.416667	0.166667
gen-1-189	0.050761	-0.331297	0.500000	0.166667	0.333333
gen-1-190	0.019338	-0.331033	0.600000	0.200000	0.200000
gen-1-191	0.028320	-0.238806	0.400000	0.600000	0.000000
gen-1-192	0.090603	-0.198365	0.333333	0.333333	0.333333
gen-1-193	0.045689	-0.290050	0.444444	0.333333	0.222222
gen-1-194	0.067027	-0.257991	0.437500	0.375000	0.187500
gen-1-195	0.041628	-0.283246	0.714286	0.142857	0.142857
gen-1-196	0.041908	-0.240638	0.333333	0.500000	0.166667
gen-1-197	0.025516	-0.297141	0.777778	0.055556	0.166667
gen-1-198	0.034482	-0.302495	0.500000	0.357143	0.142857
gen-2-0	0.011846	-0.053912	0.066667	0.866667	0.066667
gen-2-1	0.038580	-0.304032	0.500000	0.333333	0.166667
gen-2-2	0.049947	-0.264514	0.400000	0.400000	0.200000
gen-2-3	0.072947	-0.209599	0.333333	0.500000	0.166667
gen-2-4	0.029520	-0.303067	0.625000	0.250000	0.125000
gen-2-5	0.042701	-0.244469	0.421053	0.526316	0.052632
gen-2-6	0.074811	-0.209876	0.333333	0.444444	0.222222
gen-2-7	0.043736	-0.302284	0.636364	0.181818	0.181818
gen-2-8	0.049064	-0.243792	0.416667	0.500000	0.083333
gen-2-9	0.021710	-0.052989	0.066667	0.800000	0.133333
