Index	e_above_hull	formation_energy	Sn_fraction
06-56	0.011758	-0.397069	0.250000
06-57	0.000150	-0.408678	0.250000
06-58	0.056479	-0.340881	0.357143
06-59	0.049750	-0.359078	0.250000
06-60	0.026312	-0.312872	0.500000
06-61	0.029267	-0.083795	0.833333
06-62	0.061359	-0.043111	0.055556
06-63	0.001992	-0.405063	0.333333
06-64	0.039179	-0.333941	0.416667
06-65	0.072142	-0.343204	0.300000
06-66	0.077880	-0.193468	0.600000
06-67	0.035918	-0.379319	0.272727
06-68	0.000200	-0.408628	0.250000
06-69	0.015425	-0.154168	0.750000
06-70	0.017967	-0.389088	0.333333
06-71	0.135033	-0.278495	0.266667
06-72	0.022737	-0.392609	0.300000
06-73	0.067000	-0.272185	0.500000
06-74	0.033335	-0.271931	0.550000
06-75	0.000225	-0.338960	0.500000
06-76	0.039265	-0.232083	0.600000
06-77	0.043265	-0.336642	0.400000
06-78	0.056075	-0.283110	0.500000
06-79	0.044845	-0.335062	0.400000
06-80	0.041967	-0.365088	0.333333
06-81	0.051192	-0.118401	0.750000
06-82	0.000075	-0.339110	0.500000
06-83	0.024442	-0.145151	0.750000
06-84	0.049850	-0.358977	0.250000
06-85	0.007917	-0.305492	0.166667
06-86	0.059983	-0.348844	0.250000
06-87	0.049825	-0.359002	0.250000
06-88	0.049825	-0.359002	0.250000
06-89	0.002812	-0.404243	0.333333
06-90	0.046825	-0.360230	0.333333
06-91	0.037125	-0.369930	0.333333
06-92	0.000050	-0.339135	0.500000
06-93	0.083593	-0.335307	0.285714
06-94	0.062045	-0.353192	0.272727
06-95	0.066009	-0.326757	0.368421
06-96	0.082873	-0.230221	0.538462
06-97	0.002142	-0.404913	0.333333
06-98	0.078911	-0.289361	0.428571
06-99	0.037556	-0.352531	0.375000
06-100	0.055008	-0.306800	0.444444
06-101	0.000280	0.000280	0.000000
06-102	0.044467	-0.294718	0.500000
06-103	0.026419	-0.312766	0.500000
06-104	0.000425	-0.408402	0.250000
06-105	0.065325	-0.273860	0.500000
06-106	0.026313	-0.187909	0.684211
06-107	0.000050	-0.339135	0.500000
06-108	0.000025	-0.339160	0.500000
06-109	0.031777	-0.153233	0.727273
06-110	0.049735	-0.255531	0.550000
06-111	0.002063	-0.406765	0.250000
06-112	0.025076	-0.153442	0.736842
06-113	0.049838	-0.358990	0.250000
06-114	0.036045	-0.269221	0.550000
06-115	0.046500	-0.362328	0.250000
06-116	0.016167	-0.297242	0.166667
06-117	0.041055	-0.338852	0.400000
06-118	0.053717	-0.333810	0.222222
06-119	0.048750	-0.177373	0.666667
06-120	0.022183	-0.203940	0.666667
06-121	0.059792	-0.166332	0.666667
06-122	0.050263	-0.288922	0.500000
06-123	0.000025	-0.339160	0.500000
06-124	0.061384	-0.333331	0.363636
06-125	0.080136	-0.326919	0.333333
06-126	0.047205	-0.224143	0.600000
06-127	0.034080	-0.337254	0.421053
06-128	0.035452	-0.322243	0.454545
06-129	0.026375	-0.312810	0.500000
06-130	0.047925	-0.291260	0.500000
06-131	0.021715	-0.358192	0.400000
06-132	0.097158	-0.311669	0.250000
06-133	0.048358	-0.358697	0.333333
06-134	0.045353	-0.314193	0.450000
06-135	0.089370	-0.290537	0.400000
06-136	0.049825	-0.359002	0.250000
06-137	0.055821	-0.234909	0.571429
06-138	0.041156	-0.184968	0.666667
06-139	0.014125	-0.155468	0.750000
06-140	0.089436	-0.272372	0.444444
06-141	0.049788	-0.359040	0.250000
06-142	0.044925	-0.334982	0.400000
06-143	0.025120	-0.246228	0.600000
06-144	0.000200	-0.408628	0.250000
06-145	0.051193	-0.343522	0.363636
06-146	0.022025	-0.189966	0.687500
06-147	0.049863	-0.358965	0.250000
06-148	0.044055	-0.227293	0.600000
06-149	0.044825	-0.335082	0.400000
06-150	0.034745	-0.200311	0.125000
06-151	0.062761	-0.294934	0.454545
06-152	0.019805	-0.360102	0.400000
06-153	0.002425	-0.404630	0.333333
06-154	0.049813	-0.359015	0.250000
06-155	0.037331	-0.324478	0.444444
06-156	0.000135	-0.358006	0.200000
06-157	0.014550	-0.324635	0.500000
