Filename,2Theta,Intensity,hkl
gen_133.cif,51.78831414087949,2.795397838396497,"(3, -2, 0)"
gen_133.cif,53.70617819457175,12.670846276614585,"(0, 0, 2)"
gen_133.cif,55.89802827781699,45.115485946735895,"(3, -1, 1)"
gen_133.cif,56.20660786413255,11.099585865479485,"(2, 2, 0)"
gen_133.cif,56.63017350425059,4.312883935369928,"(1, 0, 2)"
gen_133.cif,57.63334926450536,2.049324308515577,"(1, -1, 2)"
gen_133.cif,58.599693109036004,3.9059098105411434,"(3, 0, 1)"
gen_133.cif,58.898868831106036,3.848795504530555,"(3, -2, 1)"
gen_133.cif,60.025878188920466,1.8219247337689024,"(3, 1, 0)"
gen_133.cif,60.61465773640906,0.8857191572034679,"(3, -3, 0)"
gen_133.cif,61.25082003599363,1.7191040061184577,"(1, 1, 2)"
gen_133.cif,62.98772691149957,1.587106561035419,"(2, 2, 1)"
gen_133.cif,64.09635658173623,3.0210162987202396,"(2, -1, 2)"
gen_133.cif,64.88824378063525,29.329850030350116,"(2, 0, 2)"
gen_133.cif,66.57237284603633,27.285155466236386,"(3, 1, 1)"
gen_133.cif,66.62991880215588,1.3551272569631199,"(4, -1, 0)"
gen_133.cif,67.1287024779844,13.328680829098072,"(3, -3, 1)"
gen_133.cif,67.68298726672244,13.0269619131132,"(4, -2, 0)"
gen_133.cif,68.5578135255978,12.572175117718894,"(2, -2, 2)"
gen_133.cif,70.74119083606102,11.542665659672723,"(4, 0, 0)"
gen_133.cif,70.84402473862818,2.2945494740073706,"(2, 1, 2)"
gen_133.cif,72.86343877329278,2.1320508907869953,"(4, -1, 1)"
gen_133.cif,72.99744073025236,1.0609989255636887,"(3, 2, 0)"
gen_133.cif,73.79812214730711,1.0318520510280758,"(4, -3, 0)"
gen_133.cif,73.87627707128772,2.0581734727164918,"(4, -2, 1)"
gen_133.cif,75.24939289790312,1.965424773535376,"(3, -1, 2)"
gen_133.cif,76.83139517813497,1.401231813724677,"(4, 0, -1)"
gen_133.cif,76.83140535630132,0.4670771690945404,"(4, 0, 1)"
gen_133.cif,77.58688338280142,1.8253447884290168,"(3, 0, 2)"
gen_133.cif,77.84864142188682,1.8109473762397854,"(3, -2, 2)"
gen_133.cif,79.0241051644692,1.749263531764835,"(3, 2, 1)"
gen_133.cif,79.67494519421584,0.8585585638180097,"(4, 1, 0)"
gen_133.cif,79.80469153452873,1.7108735295549276,"(4, -3, 1)"
gen_133.cif,81.48165559049977,8.137836512747834,"(2, 2, 2)"
gen_133.cif,84.57493965786121,3.7646304663030334,"(4, -4, 0)"
gen_133.cif,84.74807476421765,1.509745769125168,"(3, 1, 2)"
