Index	e_above_hull	formation_energy	Sn_fraction
gen-2-33	0.041140	0.041140	1.000000
gen-2-34	0.036093	-0.295112	0.500000
gen-2-35	0.007309	-0.384321	0.300000
gen-2-36	0.049155	0.049155	1.000000
gen-2-37	0.007271	-0.323935	0.500000
gen-2-38	0.031165	-0.220773	0.625000
gen-2-39	0.048164	0.048164	1.000000
gen-2-40	0.027267	-0.321069	0.200000
gen-2-41	0.000125	0.000125	1.000000
gen-2-42	0.052833	0.052833	1.000000
gen-2-43	0.042267	0.042267	1.000000
gen-2-44	0.002825	-0.287787	0.166667
gen-2-45	0.040314	0.040314	1.000000
gen-2-46	0.005683	-0.325522	0.500000
gen-2-47	0.023988	-0.357571	0.333333
gen-2-48	0.042660	0.042660	1.000000
gen-2-49	0.013808	-0.276804	0.166667
gen-2-50	0.012163	-0.369396	0.333333
gen-2-51	0.048513	0.048513	1.000000
gen-2-52	0.025102	-0.349264	0.357143
gen-2-53	0.024089	-0.201426	0.666667
gen-2-54	0.000863	-0.394521	0.250000
gen-2-55	0.028958	0.028958	1.000000
gen-2-56	0.030623	-0.237168	0.600000
gen-2-57	0.020679	-0.375267	0.285714
gen-2-58	0.024530	-0.351994	0.350000
gen-2-59	0.016496	-0.365063	0.333333
gen-2-60	0.041225	0.041225	1.000000
gen-2-61	0.036067	0.036067	1.000000
gen-2-62	0.019013	-0.362546	0.333333
gen-2-63	0.059570	0.059570	1.000000
gen-2-64	0.010137	-0.238960	0.142857
gen-2-65	0.016300	-0.314906	0.500000
gen-2-66	0.025073	-0.242718	0.600000
gen-2-67	0.048750	0.048750	1.000000
gen-2-68	0.019351	-0.342067	0.400000
gen-2-69	0.053356	0.053356	1.000000
gen-2-70	0.000083	-0.225431	0.666667
gen-2-71	0.021265	-0.335118	0.416667
gen-2-72	0.024106	-0.337312	0.400000
gen-2-73	0.035500	-0.190015	0.666667
gen-2-74	0.048550	0.048550	1.000000
gen-2-75	0.013483	-0.204476	0.125000
gen-2-76	0.036963	0.036963	1.000000
gen-2-77	0.000058	-0.331147	0.500000
gen-2-78	0.000055	-0.331151	0.500000
gen-2-79	0.028633	-0.239158	0.600000
gen-2-80	0.036818	-0.332153	0.375000
gen-2-81	0.048733	0.048733	1.000000
gen-2-82	0.010063	-0.371496	0.333333
gen-2-83	0.017317	-0.378067	0.250000
gen-2-84	0.041383	0.041383	1.000000
gen-2-85	0.048550	0.048550	1.000000
gen-2-86	0.040382	0.040382	1.000000
gen-2-87	0.034508	-0.183451	0.125000
gen-2-88	0.030965	-0.317371	0.200000
gen-2-89	0.048575	0.048575	1.000000
gen-2-90	0.033843	-0.335128	0.375000
gen-2-91	0.049125	0.049125	1.000000
gen-2-92	0.010007	-0.371552	0.333333
gen-2-93	0.051083	0.051083	1.000000
gen-2-94	0.018069	-0.363491	0.333333
gen-2-95	0.035313	-0.232478	0.600000
gen-2-96	0.048508	0.048508	1.000000
gen-2-97	0.043013	-0.224778	0.600000
gen-2-98	0.049255	0.049255	1.000000
gen-2-99	0.012207	-0.369352	0.333333
gen-2-100	0.007156	0.007156	0.000000
gen-2-101	0.029060	0.029060	1.000000
