Index	e_above_hull	formation_energy	Sn_fraction
gen-2-126	0.013019	-0.156117	0.750000
gen-2-127	0.035500	-0.242869	0.583333
gen-2-128	0.000000	0.000000	1.000000
gen-2-129	0.028967	0.028967	1.000000
gen-2-130	0.049278	0.049278	1.000000
gen-2-131	0.048806	0.048806	1.000000
gen-2-132	0.028154	-0.340915	0.375000
gen-2-133	0.023617	-0.201898	0.666667
gen-2-134	0.056186	0.056186	1.000000
gen-2-135	0.021367	-0.288714	0.533333
gen-2-136	0.052880	0.052880	1.000000
gen-2-137	0.001777	-0.348311	0.200000
gen-2-138	0.034347	-0.327153	0.400000
gen-2-139	0.054661	0.054661	1.000000
gen-2-140	0.027405	-0.349234	0.350000
gen-2-141	0.034233	-0.191281	0.666667
gen-2-142	0.000157	-0.395946	0.285714
gen-2-143	0.051789	0.051789	1.000000
gen-2-144	0.012792	-0.337296	0.200000
gen-2-145	0.048121	0.048121	1.000000
gen-2-146	0.029014	0.029014	1.000000
gen-2-147	0.040583	0.040583	1.000000
gen-2-148	0.018667	-0.363019	0.333333
gen-2-149	0.024675	-0.200840	0.666667
gen-2-150	0.029400	-0.238398	0.600000
gen-2-151	0.009300	-0.321922	0.500000
gen-2-152	0.007389	-0.374296	0.333333
gen-2-153	0.040350	0.040350	1.000000
gen-2-154	0.035260	-0.232538	0.600000
gen-2-155	0.024242	-0.254127	0.583333
gen-2-156	0.041229	0.041229	1.000000
gen-2-157	0.031247	-0.330253	0.400000
gen-2-158	0.061275	0.061275	1.000000
gen-2-159	0.026922	-0.354763	0.333333
gen-2-160	0.048613	0.048613	1.000000
gen-2-161	0.018889	-0.276770	0.166667
gen-2-162	0.000033	-0.331189	0.500000
gen-2-163	0.040771	0.040771	1.000000
gen-2-164	0.037700	0.037700	1.000000
gen-2-165	0.024297	-0.357388	0.333333
gen-2-166	0.018053	-0.343447	0.400000
gen-2-167	0.028191	-0.367198	0.250000
gen-2-168	0.028970	0.028970	1.000000
gen-2-169	0.016272	-0.333816	0.200000
gen-2-170	0.048400	0.048400	1.000000
gen-2-171	0.001969	-0.329253	0.500000
gen-2-172	0.020630	-0.310592	0.500000
gen-2-173	0.043742	0.043742	1.000000
gen-2-174	0.015507	-0.380596	0.285714
gen-2-175	0.025074	-0.327775	0.428571
gen-2-176	0.048460	0.048460	1.000000
gen-2-177	0.038500	0.038500	1.000000
gen-2-178	0.021700	-0.359985	0.333333
gen-2-179	0.010597	-0.285062	0.166667
gen-2-180	0.032620	-0.266890	0.550000
gen-2-181	0.016633	-0.344867	0.400000
gen-2-182	0.048138	0.048138	1.000000
gen-2-183	0.026050	-0.241748	0.600000
gen-2-184	0.035000	0.035000	1.000000
gen-2-185	0.000056	-0.378479	0.222222
gen-2-186	0.048525	0.048525	1.000000
gen-2-187	0.000314	-0.395789	0.285714
gen-2-188	0.030256	-0.365133	0.250000
gen-2-189	0.048563	0.048563	1.000000
gen-2-190	0.017350	-0.313872	0.500000
gen-2-191	0.037006	0.037006	1.000000
gen-2-192	0.024933	-0.200581	0.666667
gen-2-193	0.054994	0.054994	1.000000
gen-2-194	0.024217	-0.254152	0.583333
gen-2-195	0.035981	-0.359408	0.250000
gen-2-196	0.049250	0.049250	1.000000
gen-2-197	0.025589	-0.356096	0.333333
gen-2-198	0.022527	-0.338973	0.400000
gen-2-199	0.048750	0.048750	1.000000
