Index	e_above_hull	Sn_fraction
gen-1-45	0.013978	0.111111
gen-1-46	0.018944	0.333333
gen-1-47	0.001544	0.250000
gen-1-48	0.000000	0.666667
gen-1-49	0.034933	0.666667
gen-1-50	0.024228	0.666667
gen-1-51	0.021075	0.583333
gen-1-52	0.034388	0.500000
gen-1-53	0.043350	0.285714
gen-1-54	0.024740	0.600000
gen-1-55	0.023248	0.400000
gen-1-56	0.001036	0.285714
gen-1-57	0.010136	0.333333
gen-1-58	0.025675	0.562500
gen-1-59	0.016673	0.400000
gen-1-60	0.015744	0.333333
gen-1-61	0.013467	0.500000
gen-1-62	0.031512	0.300000
gen-1-63	0.034193	0.400000
gen-1-64	0.032081	0.388889
gen-1-65	0.033054	0.375000
gen-1-66	0.023330	0.600000
gen-1-67	0.021240	0.600000
gen-1-68	0.019913	0.500000
gen-1-69	0.014755	0.133333
gen-1-70	0.051212	0.200000
gen-1-71	0.037606	0.250000
gen-1-72	0.033650	0.625000
gen-1-73	0.037322	0.111111
gen-1-74	0.014012	0.142857
gen-1-75	0.016147	0.166667
gen-1-76	0.017273	0.250000
gen-1-77	0.000000	0.000000
gen-1-78	0.001850	0.500000
gen-1-79	0.040092	0.583333
gen-1-80	0.027614	0.571429
gen-1-81	0.030886	0.416667
gen-1-82	0.001752	0.200000
gen-1-83	0.023967	0.666667
gen-1-84	0.013213	0.750000
gen-1-85	0.019713	0.500000
gen-1-86	0.029985	0.200000
gen-1-87	0.030077	0.437500
gen-1-88	0.031820	0.666667
gen-1-89	0.032206	0.666667
gen-1-90	0.030597	0.166667
gen-1-91	0.011463	0.750000
gen-1-92	0.028282	0.200000
gen-1-93	0.000025	0.500000
gen-1-94	0.018067	0.428571
gen-1-95	0.016922	0.333333
gen-1-96	0.016613	0.400000
gen-1-97	0.040297	0.300000
gen-1-98	0.031875	0.583333
gen-1-99	0.035800	0.625000
gen-1-100	0.018837	0.300000
gen-1-101	0.020547	0.333333
gen-1-102	0.033340	0.666667
gen-1-103	0.017595	0.500000
gen-1-104	0.016225	0.500000
gen-1-105	0.014656	0.333333
gen-1-106	0.007922	0.000000
gen-1-107	0.010000	0.500000
gen-1-108	0.000017	0.500000
gen-1-109	0.026661	0.333333
gen-1-110	0.039769	0.357143
gen-1-111	0.013030	0.166667
gen-1-112	0.029133	0.400000
gen-1-113	0.022438	0.400000
gen-1-114	0.046781	0.250000
gen-1-115	0.034983	0.666667
gen-1-116	0.030631	0.388889
gen-1-117	0.021308	0.666667
gen-1-118	0.033333	0.333333
gen-1-119	0.010022	0.333333
gen-1-120	0.008817	0.500000
gen-1-121	0.032304	0.388889
gen-1-122	0.020410	0.700000
gen-1-123	0.010089	0.333333
gen-1-124	0.050663	0.500000
gen-1-125	0.000156	0.250000
gen-1-126	0.020444	0.555556
gen-1-127	0.012264	0.333333
gen-1-128	0.029578	0.416667
gen-1-129	0.008331	0.000000
gen-1-130	0.026364	0.363636
gen-1-131	0.019133	0.400000
gen-1-132	0.033178	0.333333
gen-1-133	0.028417	0.666667
gen-1-134	0.016310	0.500000
gen-1-135	0.045746	0.181818
gen-1-136	0.018078	0.333333
gen-1-137	0.032469	0.133333
gen-1-138	0.026806	0.333333
gen-1-139	0.013880	0.500000
gen-1-140	0.020500	0.550000
gen-1-141	0.024089	0.166667
gen-1-142	0.000011	0.222222
gen-1-143	0.029824	0.187500
gen-1-144	0.024304	0.375000
gen-1-145	0.038989	0.333333
gen-1-146	0.018963	0.400000
gen-1-147	0.033675	0.600000
gen-1-148	0.010539	0.333333
gen-1-149	0.035514	0.285714
gen-1-150	0.014528	0.166667
gen-1-151	0.020233	0.400000
gen-1-152	0.014572	0.500000
gen-1-153	0.038400	0.666667
gen-1-154	0.022273	0.400000
gen-1-155	0.000056	0.500000
gen-1-156	0.006417	0.300000
gen-1-157	0.037633	0.333333
gen-1-158	0.022600	0.312500
gen-1-159	0.019025	0.500000
gen-1-160	0.017470	0.500000
gen-1-161	0.010102	0.333333
gen-1-162	0.005047	0.166667
gen-1-163	0.019958	0.500000
gen-1-164	0.012297	0.333333
gen-1-165	0.011081	0.750000
gen-1-166	0.023517	0.666667
gen-1-167	0.011700	0.750000
gen-1-168	0.036494	0.625000
gen-1-169	0.026222	0.166667
gen-1-170	0.030678	0.416667
gen-1-171	0.017004	0.375000
gen-1-172	0.012142	0.200000
gen-1-173	0.000350	0.222222
gen-1-174	0.015852	0.428571
gen-1-175	0.000000	0.666667
gen-1-176	0.014921	0.500000
gen-1-177	0.026256	0.333333
gen-1-178	0.010156	0.333333
gen-1-179	0.037853	0.400000
gen-1-180	0.009092	0.500000
gen-1-181	0.005606	0.222222
gen-1-182	0.002175	0.500000
gen-1-183	0.015422	0.333333
gen-1-184	0.000023	0.250000
gen-1-185	0.022423	0.400000
gen-1-186	0.010078	0.333333
gen-1-187	0.023061	0.416667
gen-1-188	0.016206	0.333333
gen-1-189	0.026880	0.600000
gen-1-190	0.037102	0.200000
gen-1-191	0.017397	0.300000
gen-1-192	0.026960	0.375000
gen-1-193	0.018839	0.166667
gen-1-194	0.017822	0.333333
gen-1-195	0.025525	0.666667
gen-1-196	0.010039	0.333333
gen-1-197	0.006377	0.300000
gen-1-198	0.016300	0.545455
gen-1-199	0.036069	0.250000
gen-2-0	0.034708	0.437500
gen-2-1	0.048750	1.000000
gen-2-2	0.048133	1.000000
gen-2-3	0.034643	0.714286
gen-2-4	0.049214	1.000000
gen-2-5	0.032050	0.500000
gen-2-6	0.027402	0.200000
gen-2-7	0.013225	0.750000
gen-2-8	0.040114	1.000000
gen-2-9	0.022253	0.400000
gen-2-10	0.024213	0.277778
gen-2-11	0.057433	1.000000
gen-2-12	0.014183	0.181818
gen-2-13	0.041150	1.000000
gen-2-14	0.020210	0.550000
gen-2-15	0.022706	0.777778
gen-2-16	0.040408	1.000000
gen-2-17	0.052767	1.000000
gen-2-18	0.000020	0.500000
gen-2-19	0.020639	0.333333
gen-2-20	0.041200	1.000000
gen-2-21	0.016311	0.500000
gen-2-22	0.001772	0.200000
gen-2-23	0.058700	1.000000
gen-2-24	0.015869	0.416667
gen-2-25	0.039556	0.555556
gen-2-26	0.029075	0.600000
gen-2-27	0.041894	0.272727
gen-2-28	0.001731	0.250000
gen-2-29	0.040383	1.000000
gen-2-30	0.014754	0.214286
gen-2-31	0.048750	1.000000
gen-2-32	0.027230	0.700000
gen-2-33	0.041140	1.000000
gen-2-34	0.036110	0.500000
gen-2-35	0.007457	0.300000
gen-2-36	0.049155	1.000000
gen-2-37	0.007288	0.500000
gen-2-38	0.031169	0.625000
gen-2-39	0.048164	1.000000
gen-2-40	0.029019	0.200000
gen-2-41	0.000125	1.000000
gen-2-42	0.052833	1.000000
gen-2-43	0.042267	1.000000
gen-2-44	0.007872	0.166667
gen-2-45	0.040314	1.000000
gen-2-46	0.005700	0.500000
gen-2-47	0.024114	0.333333
gen-2-48	0.042660	1.000000
gen-2-49	0.018855	0.166667
gen-2-50	0.012289	0.333333
gen-2-51	0.048513	1.000000
gen-2-52	0.025212	0.357143
gen-2-53	0.024089	0.666667
gen-2-54	0.000869	0.250000
gen-2-55	0.028958	1.000000
gen-2-56	0.030630	0.600000
gen-2-57	0.020836	0.285714
gen-2-58	0.024645	0.350000
gen-2-59	0.016622	0.333333
gen-2-60	0.041225	1.000000
gen-2-61	0.036067	1.000000
gen-2-62	0.019139	0.333333
gen-2-63	0.059570	1.000000
gen-2-64	0.014462	0.142857
gen-2-65	0.016317	0.500000
gen-2-66	0.025080	0.600000
gen-2-67	0.048750	1.000000
gen-2-68	0.019433	0.400000
gen-2-69	0.053356	1.000000
gen-2-70	0.000083	0.666667
gen-2-71	0.021336	0.416667
gen-2-72	0.024188	0.400000
gen-2-73	0.035500	0.666667
